"Country","Region","City","Organization","Room","URL","Address","Lat","Lng","GmapsName","GmapsId","GmapsPlaceId"
"AT","","Salzburg","Scavenger Escape Salzburg","Secret Surgery","http://scavengerescape.com/salzburg/en/","Müllner Hauptstraße 13, 5020 Salzburg, Austria",47.8057504,13.0356367,"Scavenger Escape Salzburg","b2fd06015032f6b1d083ea9a3548edf973a4a301","ChIJVSMqL3CQdkcRCRZpeStrZRs"
"AT","","Salzburg","Scavenger Escape Salzburg","Mozart's Mystery","http://scavengerescape.com/salzburg/en/","Müllner Hauptstraße 13, 5020 Salzburg, Austria",47.8057504,13.0356367,"Scavenger Escape Salzburg","b2fd06015032f6b1d083ea9a3548edf973a4a301","ChIJVSMqL3CQdkcRCRZpeStrZRs"
"AT","","Tyrol","Wilder Kaiser","Bunker","http://wilderkaiser.roomescape.at/","Kaiser Mountains, 6352 Kufstein, Austria",47.5616995,12.3019011,"Kaiser Mountains","5bf307bcd3b7231f9ab52128b0f594e4d28046d3","ChIJR1kxXU9GdkcRXg5oHrZdkfE"
"AT","","Tyrol","Wilder Kaiser","Prison","http://wilderkaiser.roomescape.at/","Kaiser Mountains, 6352 Kufstein, Austria",47.5616995,12.3019011,"Kaiser Mountains","5bf307bcd3b7231f9ab52128b0f594e4d28046d3","ChIJR1kxXU9GdkcRXg5oHrZdkfE"
"AT","","Vienna","Adventure Rooms","The Original","http://www.adventurerooms.at/","Währinger Gürtel 166 / 1-2, 1090 Wien, Austria",48.23119789999999,16.35334229999999,"Adventure Rooms (Escape Room) Vienna","e66f92595792429957cc2d1b911d6339366fa796","ChIJd4KS9cwHbUcR5x_qZOGNYkc"
"AT","","Vienna","Adventure Rooms","The Black Queen","http://www.adventurerooms.at/","Währinger Gürtel 166 / 1-2, 1090 Wien, Austria",48.23119789999999,16.35334229999999,"Adventure Rooms (Escape Room) Vienna","e66f92595792429957cc2d1b911d6339366fa796","ChIJd4KS9cwHbUcR5x_qZOGNYkc"
"AT","","Vienna","Crime Runners","Crime Runners","http://www.crimerunners.at/","Maria-Theresien-Straße 3, Top 1a, 1090 Wien, Austria",48.214956,16.36242529999999,"Crime Runners - Escape Room im Zentrum","a73a8a694309fa173a9440cbe987bacaec6928b2","ChIJt7zKObwHbUcR1NxjVChrb4s"
"AT","","Vienna","Crime Runners","The Dark Secret of the Congressman","http://www.crimerunners.at/","Maria-Theresien-Straße 3, Top 1a, 1090 Wien, Austria",48.214956,16.36242529999999,"Crime Runners - Escape Room im Zentrum","a73a8a694309fa173a9440cbe987bacaec6928b2","ChIJt7zKObwHbUcR1NxjVChrb4s"
"AT","","Vienna","Crime Runners","Crime Scene Back Alley","http://www.crimerunners.at/","Maria-Theresien-Straße 3, Top 1a, 1090 Wien, Austria",48.214956,16.36242529999999,"Crime Runners - Escape Room im Zentrum","a73a8a694309fa173a9440cbe987bacaec6928b2","ChIJt7zKObwHbUcR1NxjVChrb4s"
"AT","","Vienna","Escapology Vienna","Tomb of Tutankhamun","http://www.escapology.at/","Schönborngasse 13A, 1080 Wien, Austria",48.211731,16.346909,"Escapology Vienna - Escape Spiel in Wien","307d8b6a59ac5f0558d0741cc20ebb48d59c41fc","ChIJGabCSOoHbUcRk0GyfbctLpA"
"AT","","Vienna","Escapology Vienna","Free Lili","http://www.escapology.at/","Schönborngasse 13A, 1080 Wien, Austria",48.211731,16.346909,"Escapology Vienna - Escape Spiel in Wien","307d8b6a59ac5f0558d0741cc20ebb48d59c41fc","ChIJGabCSOoHbUcRk0GyfbctLpA"
"AT","","Vienna","Exit the Room","Madness","http://www.exittheroom.com/madness","Hernalser Gürtel 20, 1080 Wien, Austria",48.2148544,16.3412995,"Exit The Room Wien","574a824734b4c0325517922ae0ba261f9fd795fd","ChIJO7kQnsIHbUcRPqHtHgf6wjE"
"AT","","Vienna","Exit the Room","Mind Boggling","http://www.exittheroom.com/mind-boggling","Hernalser Gürtel 20, 1080 Wien, Austria",48.2148544,16.3412995,"Exit The Room Wien","574a824734b4c0325517922ae0ba261f9fd795fd","ChIJO7kQnsIHbUcRPqHtHgf6wjE"
"AT","","Vienna","Exit the Room","The Bomb","http://www.exittheroom.com/the-bomb","Hernalser Gürtel 20, 1080 Wien, Austria",48.2148544,16.3412995,"Exit The Room Wien","574a824734b4c0325517922ae0ba261f9fd795fd","ChIJO7kQnsIHbUcRPqHtHgf6wjE"
"AT","","Vienna","Exodus","Monk's Secret","http://www.exodus-vienna.com/","Pramergasse 10, 1090 Wien, Austria",48.2221404,16.3627368,"Exodus","41cb580352f59176d411b18de6bb4300fe3327e4","ChIJ_4r6e7cHbUcRNS7NxtthyYc"
"AT","","Vienna","HintHunt","Submarines","http://www.hinthunt.com/","72-76 Eversholt St, London NW1 1BY, United Kingdom",51.5298172,-0.1333501,"HintHunt London","b4fe08ef8d7a7e048fcecab14dcfb97257812c8c","ChIJ8eChbiQbdkgRaoX-KrkZQmY"
"AT","","Vienna","Live:Krimi","Verschollen","http://www.live-krimi.at/","Neustiftgasse 87, 1070 Wien, Austria",48.2054874,16.3466363,"LIVE:KRIMI Wien","37e482be4eba4d380158c1e6ab046b24198b7aaa","ChIJQQ1vPO0HbUcRT2Z_WO0OUzo"
"AT","","Vienna","Live:Krimi","Geheimes Lager","http://www.live-krimi.at/","Neustiftgasse 87, 1070 Wien, Austria",48.2054874,16.3466363,"LIVE:KRIMI Wien","37e482be4eba4d380158c1e6ab046b24198b7aaa","ChIJQQ1vPO0HbUcRT2Z_WO0OUzo"
"AT","","Vienna","Live:Krimi","Bombenalarm","http://www.live-krimi.at/","Neustiftgasse 87, 1070 Wien, Austria",48.2054874,16.3466363,"LIVE:KRIMI Wien","37e482be4eba4d380158c1e6ab046b24198b7aaa","ChIJQQ1vPO0HbUcRT2Z_WO0OUzo"
"AT","","Vienna","Live:Krimi","Mission Vienna","http://www.live-krimi.at/","Neustiftgasse 87, 1070 Wien, Austria",48.2054874,16.3466363,"LIVE:KRIMI Wien","37e482be4eba4d380158c1e6ab046b24198b7aaa","ChIJQQ1vPO0HbUcRT2Z_WO0OUzo"
"AT","","Vienna","Live:Krimi","Diva des Todes","http://www.live-krimi.at/","Neustiftgasse 87, 1070 Wien, Austria",48.2054874,16.3466363,"LIVE:KRIMI Wien","37e482be4eba4d380158c1e6ab046b24198b7aaa","ChIJQQ1vPO0HbUcRT2Z_WO0OUzo"
"AT","","Vienna","Mystoria","Revenge of the Don","http://mystoria.at/","Kliebergasse 1, 1050 Wien, Austria",48.1835998,16.3634503,"Escaperoom Mystoria","0e4731015eab140de41b82f7a1ddbbada212f946","ChIJqwd81iyobUcRt96Maq6dvZ0"
"AT","","Vienna","Mystoria","Mad Professor","http://mystoria.at/","Kliebergasse 1, 1050 Wien, Austria",48.1835998,16.3634503,"Escaperoom Mystoria","0e4731015eab140de41b82f7a1ddbbada212f946","ChIJqwd81iyobUcRt96Maq6dvZ0"
"AT","","Vienna","Mystoria","Dark Space","http://mystoria.at/","Kliebergasse 1, 1050 Wien, Austria",48.1835998,16.3634503,"Escaperoom Mystoria","0e4731015eab140de41b82f7a1ddbbada212f946","ChIJqwd81iyobUcRt96Maq6dvZ0"
"AT","","Vienna","Open the Door","Illusion Room","http://www.openthedoor.at/","Alser Str. 27, 1080 Wien, Austria",48.2147481,16.3499179,"Open The Door","6e3ac2693859852040b63a2e685b6e5cc2fa4150","ChIJLSdNSsAHbUcR76kbvZldSiY"
"AT","","Vienna","Open the Door","Torture Chamber","http://www.openthedoor.at/","Alser Str. 27, 1080 Wien, Austria",48.2147481,16.3499179,"Open The Door","6e3ac2693859852040b63a2e685b6e5cc2fa4150","ChIJLSdNSsAHbUcR76kbvZldSiY"
"AT","","Vienna","Parapark","Experiment Nr 5","http://parapark.at/index.php?page=start","Gutheil-Schoder-Gasse 17, 1230 Wien, Austria",48.157583,16.335425,"ParaPark Wien - MAXX Entertainment","fcd1caabb662a3b4b97d37cc6baf110f97f1740b","ChIJ1WgfbleobUcRuUAQMNBrVks"
"AT","","Vienna","Parapark","Crime Scene '95","http://parapark.at/index.php?page=start","Gutheil-Schoder-Gasse 17, 1230 Wien, Austria",48.157583,16.335425,"ParaPark Wien - MAXX Entertainment","fcd1caabb662a3b4b97d37cc6baf110f97f1740b","ChIJ1WgfbleobUcRuUAQMNBrVks"
"AT","","Vienna","Room Escape Wien","Vienna Central Bank","https://roomescape.at/main/index","Währinger Gürtel 166 / 1-2, 1090 Wien, Austria",48.23119789999999,16.35334229999999,"Adventure Rooms (Escape Room) Vienna","e66f92595792429957cc2d1b911d6339366fa796","ChIJd4KS9cwHbUcR5x_qZOGNYkc"
"AT","","Vienna","Room Escape Wien","Bunker","https://roomescape.at/main/index","Währinger Gürtel 166 / 1-2, 1090 Wien, Austria",48.23119789999999,16.35334229999999,"Adventure Rooms (Escape Room) Vienna","e66f92595792429957cc2d1b911d6339366fa796","ChIJd4KS9cwHbUcR5x_qZOGNYkc"
"AT","","Vienna","SherLockd","Holmes","http://www.sherlockd.at/","Top 1-2, Märzstraße 144, 1140 Wien, Austria",48.19688600000001,16.309573,"SherLockd - The Escape Game","aa219d64c402f05696e7426a66e850cdeff10df4","ChIJGzMeG_-nbUcRxjPAZIxYjik"
"AT","","Vienna","SherLockd","Sherlock&Watson","http://www.sherlockd.at/","Top 1-2, Märzstraße 144, 1140 Wien, Austria",48.19688600000001,16.309573,"SherLockd - The Escape Game","aa219d64c402f05696e7426a66e850cdeff10df4","ChIJGzMeG_-nbUcRxjPAZIxYjik"
"AT","","Vienna","SherLockd","Baker Street 221/b","http://www.sherlockd.at/","Top 1-2, Märzstraße 144, 1140 Wien, Austria",48.19688600000001,16.309573,"SherLockd - The Escape Game","aa219d64c402f05696e7426a66e850cdeff10df4","ChIJGzMeG_-nbUcRxjPAZIxYjik"
"AT","","Vienna","Smart Rooms","Secrets of da Vinci","http://www.smartrooms.at/","","","","","",""
"AT","","Vienna","Time Busters","Control Chamber","http://www.time-busters.at/en/missions/control-chamber/","Rembrandtstraße 24, 1020 Wien, Austria",48.2222545,16.3725894,"Time-Busters","b4286bf93ddf3e23c07a98fe5d2d5c1f8f229afe","ChIJKVbuCboHbUcRgufszFK7jsQ"
"AT","","Vienna","Time Busters","Temple","http://www.time-busters.at/en/missions/temple/","Rembrandtstraße 24, 1020 Wien, Austria",48.2222545,16.3725894,"Time-Busters","b4286bf93ddf3e23c07a98fe5d2d5c1f8f229afe","ChIJKVbuCboHbUcRgufszFK7jsQ"
"AT","","Vienna","Time Busters","The Vault","http://www.time-busters.at/en/missions/vault/","Rembrandtstraße 24, 1020 Wien, Austria",48.2222545,16.3725894,"Time-Busters","b4286bf93ddf3e23c07a98fe5d2d5c1f8f229afe","ChIJKVbuCboHbUcRgufszFK7jsQ"
"AT","","","","Two Bears' Life","http://twobearslife.com/","","","","","",""
"AU","Australian Capital Territory","Canberra","Expedition Escape Rooms","Da Vinci's Secrets","http://www.expeditionescaperooms.com/","u11/108 Bunda St, Canberra ACT 2601, Australia",-35.2784805,149.1326465,"Expedition Escape Rooms","a8499a1e12677b4dbc0cb8859d043ab214392c15","ChIJIcntCGZNFmsR2ZjbM40Wn-U"
"AU","Australian Capital Territory","Canberra","Expedition Escape Rooms","Mission: Identity","http://www.expeditionescaperooms.com/","u11/108 Bunda St, Canberra ACT 2601, Australia",-35.2784805,149.1326465,"Expedition Escape Rooms","a8499a1e12677b4dbc0cb8859d043ab214392c15","ChIJIcntCGZNFmsR2ZjbM40Wn-U"
"AU","Australian Capital Territory","Canberra","Expedition Escape Rooms","The Candy Shop","http://www.expeditionescaperooms.com/","u11/108 Bunda St, Canberra ACT 2601, Australia",-35.2784805,149.1326465,"Expedition Escape Rooms","a8499a1e12677b4dbc0cb8859d043ab214392c15","ChIJIcntCGZNFmsR2ZjbM40Wn-U"
"AU","Australian Capital Territory","Canberra","Riddle Room","The Nightmare","http://riddleroom.com.au/","8b/160 Lysaght St, Mitchell ACT 2911, Australia",-35.214501,149.137961,"Riddle Room","ea7a1fd666e07fcde9ef116abe4dec7523e96743","ChIJX5Rxkm9TFmsRRNBMGzWX8w8"
"AU","Australian Capital Territory","Canberra","Riddle Room","The Dungeon","http://riddleroom.com.au/","8b/160 Lysaght St, Mitchell ACT 2911, Australia",-35.214501,149.137961,"Riddle Room","ea7a1fd666e07fcde9ef116abe4dec7523e96743","ChIJX5Rxkm9TFmsRRNBMGzWX8w8"
"AU","Australian Capital Territory","Canberra","Riddle Room","The Bomb Defusal","http://riddleroom.com.au/","8b/160 Lysaght St, Mitchell ACT 2911, Australia",-35.214501,149.137961,"Riddle Room","ea7a1fd666e07fcde9ef116abe4dec7523e96743","ChIJX5Rxkm9TFmsRRNBMGzWX8w8"
"AU","New South Wales","Hunter Valley","Sutton Estate","Wine Escape Room","http://www.suttonestatehuntervalley.com/","381 Deasys Rd, Pokolbin NSW 2320, Australia",-32.736148,151.300885,"Sutton Estate Electric Bike Hire Hunter Valley","01e1acaee078188c8644cf42a47b0f0469906043","ChIJ01tvLgu1DGsRRm_22meR6SU"
"AU","New South Wales","Parramatta","Labyrinth Escape Rooms","Insane Asylum","http://www.labyrinthescaperooms.com.au/","Suite 3A 85/93 Victoria Rd, Parramatta NSW 2150, Australia",-33.8090726,151.015443,"Labyrinth Escape Rooms","8ae8a613c548558244276f46bef85e270498ae34","ChIJXZmJ1RGjEmsR77zLEsxMnoM"
"AU","New South Wales","Parramatta","Labyrinth Escape Rooms","Mad Scientist","http://www.labyrinthescaperooms.com.au/","Suite 3A 85/93 Victoria Rd, Parramatta NSW 2150, Australia",-33.8090726,151.015443,"Labyrinth Escape Rooms","8ae8a613c548558244276f46bef85e270498ae34","ChIJXZmJ1RGjEmsR77zLEsxMnoM"
"AU","New South Wales","Sydney","Clock-Locked","Da Vinci","http://clocklocked.com.au/","101/330 Wattle St, Ultimo NSW 2007, Australia",-33.8792303,151.1961831,"Clock Locked - Escape Games Sydney","baf396b2dd7494c8730e1d67499855b1e872d80e","ChIJmw-fGS-uEmsRf0myUs7zmPc"
"AU","New South Wales","Sydney","Clock-Locked","Dexter","http://clocklocked.com.au/","101/330 Wattle St, Ultimo NSW 2007, Australia",-33.8792303,151.1961831,"Clock Locked - Escape Games Sydney","baf396b2dd7494c8730e1d67499855b1e872d80e","ChIJmw-fGS-uEmsRf0myUs7zmPc"
"AU","New South Wales","Sydney","Escape Club","Ghost Maze","http://roomescape.com.au/","22 The Promenade, Sydney NSW 2000, Australia",-33.8670897,151.2016262,"Strike Bowling King Street Wharf","c52ce60c2e5d8b5253588002ad81805dd9b33e79","ChIJOQSDf_VC1moR4ynBZdTtHXA"
"AU","New South Wales","Sydney","Escape Club","Tomb Raider","http://roomescape.com.au/","22 The Promenade, Sydney NSW 2000, Australia",-33.8670897,151.2016262,"Strike Bowling King Street Wharf","c52ce60c2e5d8b5253588002ad81805dd9b33e79","ChIJOQSDf_VC1moR4ynBZdTtHXA"
